brand,model,number_2019,number_2018,number_2017,number_2016,number_2015,number_2014,number_2013
Seat,Arona,981,1001,113,0,0,0,0
Seat,Ateca,3592,2402,2362,901,0,0,0
Seat,Ibiza,2249,1959,2170,1933,1731,2127,2637
Seat,Leon,3302,3501,3665,3670,4869,4002,2728
Seat,Mii,52,81,71,110,156,181,304
Seat,Tarraco,1302,0,0,0,0,0,0
Skoda,Citigo,79,116,160,203,295,246,554
Skoda,Fabia,3019,3472,3694,3928,3659,2902,3220
Skoda,Kamiq,519,0,0,0,0,0,0
Skoda,Karoq,4344,2295,325,0,0,0,0
Skoda,Kodiaq,4594,2174,2567,0,0,0,0
Skoda,Octavia,9280,8455,10017,11721,12228,10847,9980
Skoda,Rapid,308,822,960,1145,1206,1529,440
Skoda,Scala,610,0,0,0,0,0,0
Skoda,Superb,1350,1792,1832,1996,1190,1270,1046
Smart,Forfour,368,440,500,623,982,144,0
Smart,Fortwo,1370,1585,1827,2147,2427,1537,1708
Ssangyong,Korando,273,137,200,185,334,339,314
Ssangyong,Rexton,140,198,184,142,159,136,118
Ssangyong,Rodius,29,45,53,33,72,94,30
Ssangyong,Tivoli,292,301,268,499,241,0,0
Ssangyong,XLV,57,92,101,109,0,0,0
Subaru,BRZ,32,15,18,13,15,69,171
Subaru,Forester,1230,1022,1267,1102,1442,1679,1851
Subaru,Impreza,215,321,395,273,474,469,466
Subaru,Levorg,561,635,936,1706,640,0,0
Subaru,Outback,433,540,366,553,864,579,657
Subaru,WRX,27,218,157,211,304,451,249
Subaru,XV,1525,1930,1847,1555,1862,2174,3002
Suzuki,Baleno,151,159,399,422,0,0,0
Suzuki,Celerio,139,200,206,363,514,0,0
Suzuki,Ignis,1527,1787,1744,119,0,0,0
Suzuki,Jimny,420,286,351,420,353,361,416
Suzuki,Swift,2856,2659,2247,2328,3108,3069,2926
Suzuki,SX4 S-Cross,1502,1098,1370,1481,1907,2350,0
Suzuki,Vitara,1831,1484,1910,2476,1881,0,0
Tesla,Model 3,5028,1,0,0,0,0,0
Tesla,Model S,505,837,1131,1299,1556,496,213
Tesla,Model X,528,625,893,402,0,0,0
Toyota,Auris,353,1361,1694,2320,2241,2865,2658
Toyota,Aygo,856,715,662,823,1123,954,1127
Toyota,Camry,110,0,0,0,0,0,0
Toyota,C-HR,1394,1738,1809,284,0,0,0
Toyota,Corolla,1877,0,0,0,0,0,0
Toyota,GT86,25,41,57,70,61,201,345
Toyota,Land Cruiser,473,619,509,576,528,453,330
Toyota,Mirai,9,9,0,0,0,0,0
Toyota,Prius,561,505,566,773,439,449,843
Toyota,Proace,319,216,307,28,0,0,0
Toyota,RAV4,2309,1409,1547,2013,1361,1472,1493
Toyota,Sienna,3,5,9,97,184,224,48
Toyota,Supra,51,0,0,0,0,0,0
Toyota,Verso,4,181,395,582,662,947,945
Toyota,Yaris,2709,2692,2680,2628,2777,2934,3614
Volvo,S60,169,2,22,59,111,91,145
Volvo,S90,61,141,167,96,0,0,0
Volvo,V40,663,872,1426,1273,1728,1960,2349
Volvo,V60,1365,1049,999,1187,1470,1342,1428
Volvo,V90,315,425,778,127,0,0,0
Volvo,XC40,2698,1565,0,0,0,0,0
Volvo,XC60,2540,3028,2971,2469,2453,2262,2353
Volvo,XC90,1047,1039,1106,1514,915,394,397
VW,Arteon,64,165,175,0,0,0,0
VW,Beetle,8,261,300,364,405,464,706
VW,Caddy,1587,1413,1586,1567,1265,1310,1301
VW,Crafter,23,25,2,14,20,25,35
VW,Golf,6596,7201,9500,11988,15288,14366,13408
VW,Passat,2079,2164,2747,3778,4579,2922,3650
VW,Polo,3933,4109,5295,6516,7210,5884,5664
VW,Scirocco,3,9,28,71,178,141,183
VW,Sharan,1174,1048,1290,2061,1923,2039,1946
VW,T6,3588,3045,3920,3567,1052,0,0
VW,T-Cross,1447,0,0,0,0,0,0
VW,Tiguan,7018,6700,7110,6434,3950,4828,5303
VW,Touareg,734,462,218,397,699,632,564
VW,Touran,1900,2071,2965,4286,2619,3008,3552
VW,T-Roc,3866,3790,215,0,0,0,0
VW,Up,421,481,618,1047,1063,1935,2205
Diverse,Diverse,93,121,94,82,154,235,127
Alpina,D3 Biturbo,0,2,8,8,11,8,0
Chrysler,Grand Voyager,0,10,2,5,0,14,13
Citroen,C3 Picasso,0,2,202,410,617,756,998
Citroen,SpaceTourer,0,5,60,105,0,0,0
Ferrari,458,0,5,2,22,115,187,128
Ferrari,F12,0,5,31,66,40,58,132
Fiat,Freemont,0,1,1,146,514,623,693
Ford,GT,0,6,0,0,0,0,0
