year,country,motor_energy,engine,cars,cars_normalized,population,pop_normalized,ratio
1992-01-01,Liechtenstein,Total,Total,17700.0,104.79573712255772,29386.0,103.28272177702797,60.2
1992-01-01,Norway,Total,Total,1619000.0,100.37197768133912,4273634.0,100.95716724984621,37.9
1992-01-01,Switzerland,Total,Total,3091000.0,103.55108877721943,6842768.0,102.53104280138152,45.2
1993-01-01,Belgium,Total,Total,4110000.0,106.3664596273292,10068319.0,101.21169724065122,40.8
1993-01-01,Bulgaria,Total,Total,1505000.0,114.27486712224753,8484863.0,96.77842959321151,17.7
1993-01-01,Czechia,Total,Total,2833143.0,117.5090418913314,10325697.0,99.64867166912659,27.4
1993-01-01,Denmark,Total,Total,1618000.0,101.76100628930817,5180614.0,100.88026094903056,31.2
1993-01-01,Germany,Total,Total,38772000.0,126.35489652924883,80974632.0,102.35334897824602,47.9
1993-01-01,Estonia,Total,Total,317425.0,131.34972523834745,1511303.0,96.22462512710119,21.0
1993-01-01,Ireland,Total,Total,891027.0,111.69769077349873,3569367.0,101.77922822265376,25.0
1993-01-01,Greece,Total,Total,1959000.0,112.84562211981566,10430958.0,103.0636232458562,18.8
1993-01-01,Spain,Total,Total,13441000.0,112.04568189396467,39264034.0,101.0573304503124,34.2
1993-01-01,France,Total,Total,24385000.0,103.54564755838642,58885929.0,101.47602944286962,41.4
1993-01-01,Croatia,Total,Total,646000.0,81.25786163522012,4555771.0,95.45767509066421,14.2
1993-01-01,Italy,Total,Total,29652000.0,108.15582141814998,56821250.0,100.22381415012005,52.2
1993-01-01,Cyprus,Total,Total,203000.0,113.40782122905028,619231.0,108.13334381084596,32.8
1993-01-01,Latvia,Total,Total,367475.0,110.73961010978282,2585675.0,96.90927012825415,14.2
1993-01-01,Lithuania,Total,Total,597740.0,121.250354983975,3693929.0,100.00598314755796,16.2
1993-01-01,Luxembourg,Total,Total,218000.0,113.54166666666667,394750.0,104.07329290798839,55.2
1993-01-01,Hungary,Total,Total,2093529.0,107.66119514356257,10365035.0,99.90565622179771,20.2
1993-01-01,Malta,Total,Total,152613.0,139.84385738241195,369455.0,104.83074653122605,41.3
1993-01-01,Netherlands,Total,Total,5456000.0,99.03793791976764,15239182.0,102.32738813317295,35.8
1993-01-01,Austria,Total,Total,3367000.0,112.57104647275158,7882519.0,103.10930881546166,42.7
1993-01-01,Poland,Total,Total,6770557.0,128.70200732001356,38418108.0,100.99821488299601,17.6
1993-01-01,Portugal,Total,Total,3295000.0,129.11442006269593,9954958.0,99.58946558096517,33.1
1993-01-01,Romania,Total,Total,1793054.0,141.96785431512274,22778533.0,98.13513147314067,7.9
1993-01-01,Slovenia,Total,Total,632563.0,109.38924512509772,1994084.0,99.88514193461455,31.7
1993-01-01,Slovakia,Total,Total,994933.0,78.08025778422343,5314155.0,100.50101528785022,18.7
1993-01-01,Finland,Total,Total,1873000.0,96.5961835997937,5054982.0,101.62028134946586,37.1
1993-01-01,Sweden,Total,Total,3566000.0,99.05555555555556,8692013.0,101.93471614237954,41.0
1993-01-01,United Kingdom,Total,Total,21288000.0,102.73139658334138,57649210.0,100.86120377405577,36.9
1993-01-01,Iceland,Total,Total,116000.0,96.66666666666667,262386.0,103.38908918966843,44.2
1993-01-01,Liechtenstein,Total,Total,17770.0,105.21018354055653,29868.0,104.97680303669338,59.5
1993-01-01,Norway,Total,Total,1633000.0,101.23992560446374,4299167.0,101.56033994816111,38.0
1993-01-01,Switzerland,Total,Total,3110000.0,104.18760469011725,6907959.0,103.50785528592941,45.0
1994-01-01,Belgium,Total,Total,4210000.0,108.9544513457557,10100631.0,101.53651336549191,41.7
1994-01-01,Bulgaria,Total,Total,1588000.0,120.57706909643129,8459763.0,96.49213875000171,18.8
1994-01-01,Czechia,Total,Total,2923916.0,121.2739941932808,10334013.0,99.72892565620373,28.3
1994-01-01,Denmark,Total,Total,1611000.0,101.32075471698114,5196642.0,101.19236851436759,31.0
1994-01-01,Germany,Total,Total,39765000.0,129.59100537722014,81338093.0,102.81277002968076,48.9
1994-01-01,Estonia,Total,Total,337812.0,139.7858183262712,1476952.0,94.0374977954271,22.9
1994-01-01,Ireland,Total,Total,939022.0,117.71426565694681,3583154.0,102.17235961528041,26.2
1994-01-01,Greece,Total,Total,2074000.0,119.47004608294931,10489871.0,103.6457162076228,19.8
1994-01-01,Spain,Total,Total,13734000.0,114.48816272090696,39458489.0,101.5578165489317,34.8
1994-01-01,France,Total,Total,24900000.0,105.73248407643312,59104320.0,101.85237489453192,42.1
1994-01-01,Croatia,Total,Total,698000.0,87.79874213836479,4645155.0,97.3305499191628,15.0
1994-01-01,Italy,Total,Total,29665000.0,108.2032389845346,56842392.0,100.26110533746213,52.2
1994-01-01,Cyprus,Total,Total,210000.0,117.31843575418995,632944.0,110.52797932437505,33.2
1994-01-01,Latvia,Total,Total,251590.0,75.817344057474,2540904.0,95.23128471519485,9.9
1994-01-01,Lithuania,Total,Total,652810.0,132.42119355754798,3671296.0,99.39323844765207,17.8
1994-01-01,Luxembourg,Total,Total,229000.0,119.27083333333333,400200.0,105.51015027682573,57.2
1994-01-01,Hungary,Total,Total,2178891.0,112.0509957815498,10350010.0,99.76083447399536,21.1
1994-01-01,Malta,Total,Total,170635.0,156.35795511816076,373161.0,105.88230286865476,45.7
1994-01-01,Netherlands,Total,Total,5581000.0,101.30695225993829,15341553.0,103.01478441537373,36.4
1994-01-01,Austria,Total,Total,3479000.0,116.31561350718825,7928746.0,103.7139929295897,43.9
1994-01-01,Poland,Total,Total,7153141.0,135.97457422529476,38504707.0,101.22587691181462,18.6
1994-01-01,Portugal,Total,Total,3532000.0,138.40125391849529,9974391.0,99.78387344131325,35.4
1994-01-01,Romania,Total,Total,2020017.0,159.93800475059382,22748027.0,98.00370464592929,8.9
1994-01-01,Slovenia,Total,Total,657287.0,113.6647713516916,1989408.0,99.65091763729997,33.0
1994-01-01,Slovakia,Total,Total,994046.0,78.01064788219524,5336455.0,100.92275169578697,18.6
1994-01-01,Finland,Total,Total,1873000.0,96.5961835997937,5077912.0,102.08124304059419,36.9
1994-01-01,Sweden,Total,Total,3594000.0,99.83333333333333,8745109.0,102.55739419041005,41.1
1994-01-01,United Kingdom,Total,Total,21740000.0,104.91265321880128,57788017.0,101.10405603711827,37.6
1994-01-01,Iceland,Total,Total,116000.0,96.66666666666667,265064.0,104.44431309967098,43.8
1994-01-01,Liechtenstein,Total,Total,18260.0,108.11130846654827,30310.0,106.53029663995501,60.2
1994-01-01,Norway,Total,Total,1654000.0,102.54184748915065,4324815.0,102.16622932137933,38.2
1994-01-01,Switzerland,Total,Total,3165000.0,106.03015075376885,6968570.0,104.41604171505203,45.4
1995-01-01,Belgium,Total,Total,4273000.0,110.58488612836439,10130574.0,101.83751513653998,42.2
1995-01-01,Bulgaria,Total,Total,1648000.0,125.13287775246773,8427418.0,96.12321136659052,19.6
1995-01-01,Czechia,Total,Total,3043320.0,126.22646204894235,10333161.0,99.72070338624344,29.5
1995-01-01,Denmark,Total,Total,1679000.0,105.59748427672957,5215718.0,101.56382870380918,32.2
