"TIME","GEO","INDIC_DE","Value"
"1996","Belgium","Population on 1 January - total","10 143 047"
"1996","Bulgaria","Population on 1 January - total","8 384 715"
"1996","Czechia","Population on 1 January - total","10 321 344"
"1996","Denmark","Population on 1 January - total","5 251 027"
"1996","Germany including former GDR","Population on 1 January - total","81 817 499"
"1996","Estonia","Population on 1 January - total","1 425 192"
"1996","Ireland","Population on 1 January - total","3 620 065"
"1996","Greece","Population on 1 January - total","10 588 332"
"1996","Spain","Population on 1 January - total","39 808 374"
"1996","France","Population on 1 January - total","59 522 297"
"1996","Croatia","Population on 1 January - total","4 581 167"
"1996","Italy","Population on 1 January - total","56 844 197"
"1996","Cyprus","Population on 1 January - total","656 333"
"1996","Latvia","Population on 1 January - total","2 469 531"
"1996","Lithuania","Population on 1 January - total","3 615 212"
"1996","Luxembourg","Population on 1 January - total","411 600"
"1996","Hungary","Population on 1 January - total","10 321 229"
"1996","Malta","Population on 1 January - total","378 404"
"1996","Netherlands","Population on 1 January - total","15 493 889"
"1996","Austria","Population on 1 January - total","7 953 067"
"1996","Poland","Population on 1 January - total","38 609 399"
"1996","Portugal","Population on 1 January - total","10 043 693"
"1996","Romania","Population on 1 January - total","22 656 145"
"1996","Slovenia","Population on 1 January - total","1 990 266"
"1996","Slovakia","Population on 1 January - total","5 367 790"
"1996","Finland","Population on 1 January - total","5 116 826"
"1996","Sweden","Population on 1 January - total","8 837 496"
"1996","United Kingdom","Population on 1 January - total","58 094 587"
"1996","Iceland","Population on 1 January - total","267 958"
"1996","Liechtenstein","Population on 1 January - total","30 923"
"1996","Norway","Population on 1 January - total","4 369 957"
"1996","Switzerland","Population on 1 January - total","7 062 354"
"1997","European Union - 27 countries (from 2020)","Population on 1 January - total","425 273 491"
"1997","European Union - 28 countries (2013-2020)","Population on 1 January - total","483 512 803"
"1997","Belgium","Population on 1 January - total","10 170 226"
"1997","Bulgaria","Population on 1 January - total","8 340 936"
"1997","Czechia","Population on 1 January - total","10 309 137"
"1997","Denmark","Population on 1 January - total","5 275 121"
"1997","Germany including former GDR","Population on 1 January - total","82 012 162"
"1997","Estonia","Population on 1 January - total","1 405 996"
"1997","Ireland","Population on 1 January - total","3 654 955"
"1997","Greece","Population on 1 January - total","10 629 267"
"1997","Spain","Population on 1 January - total","39 971 329"
"1997","France","Population on 1 January - total","59 726 386"
"1997","Croatia","Population on 1 January - total","4 533 028"
"1997","Italy","Population on 1 January - total","56 876 364"
"1997","Cyprus","Population on 1 January - total","666 313"
"1997","Latvia","Population on 1 January - total","2 444 912"
"1997","Lithuania","Population on 1 January - total","3 588 013"
"1997","Luxembourg","Population on 1 January - total","416 850"
"1997","Hungary","Population on 1 January - total","10 301 247"
"1997","Malta","Population on 1 January - total","381 405"
"1997","Netherlands","Population on 1 January - total","15 567 107"
"1997","Austria","Population on 1 January - total","7 964 966"
"1997","Poland","Population on 1 January - total","38 639 341"
"1997","Portugal","Population on 1 January - total","10 084 196"
"1997","Romania","Population on 1 January - total","22 581 862"
"1997","Slovenia","Population on 1 January - total","1 986 989"
"1997","Slovakia","Population on 1 January - total","5 378 932"
"1997","Finland","Population on 1 January - total","5 132 320"
"1997","Sweden","Population on 1 January - total","8 844 499"
"1997","United Kingdom","Population on 1 January - total","58 239 312"
